seed,citer_corpusid,arxiv_id,year,title,authors,label,notes
Correlated Q-Learning,15145618,,2008,"Satisficing Multi-Agent Learning : Simplicity , Security , and Efficiency","J. Crandall, M. Goodrich",,
Correlated Q-Learning,213073236,,2019,Multi-Agent Reinforcement Learning Approach for Residential Microgrid Energy Scheduling,"Xiaohan Fang, Jinkuan Wang, Guanru Song, Yinghua Han, Qiang Zhao, Zhiao Cao",,
Correlated Q-Learning,33416514,,2009,Multi-agent reinforcement learning approaches for distributed job shop scheduling problems,T. Gabel,,
Correlated Q-Learning,7496856,,2013,Achieving Socially Optimal Outcomes in Multiagent Systems with Reinforcement Social Learning,"Jianye Hao, Ho-fung Leung",,
Correlated Q-Learning,1463444,,2009,Learning equilibria in repeated congestion games,"Moshe Tennenholtz, Aviv Zohar",,
Correlated Q-Learning,14836942,,2014,Towards Minimizing Disappointment in Repeated Games,J. Crandall,,
Correlated Q-Learning,201263433,,2020,Argumentation based reinforcement learning for meta-knowledge extraction,"Junyi Xu, Bin Yao, Le Li, Ming Ji, Guoming Tang",,
Correlated Q-Learning,218889300,2005.12360,2020,Non-cooperative Multi-agent Systems with Exploring Agents,"Jalal Etesami, C. Straehle",,
Correlated Q-Learning,265177212,,2023,Reinforcement Learning-Based Formation Pinning and Shape Transformation for Swarms,"Zhaoqi Dong, Qizhen Wu, Lei Chen",,
Correlated Q-Learning,14387613,,2009,How Trade Partners Make Their Decision in Cyberspace: A Research Based on Stochastic Games,"Shouming Chen, Bin Zhang",,
Correlated Q-Learning,206794869,,2008,A Comprehensive Survey of Multiagent Reinforcement Learning,"L. Buşoniu, Robert Babuška, B. Schutter",,
Correlated Q-Learning,265384166,,2023,Convergence of Policy Gradient Methods for Nash Equilibria in General-sum Stochastic Games,"Yan Chen, Tao Li",,
Correlated Q-Learning,252907284,2210.07651,2022,Decentralized Policy Gradient for Nash Equilibria Learning of General-sum Stochastic Games,"Yan Chen, Taoying Li",,
AlexNet,250607566,2207.07284,2022,Parameterization of Cross-token Relations with Relative Positional Encoding for Vision MLP,"Zhicai Wang, Y. Hao, Xingyu Gao, Hao Zhang, Shuo Wang, Tingting Mu, Xiangnan He",,
AlexNet,214017872,,2021,AUTOMATIC LUNG CANCER DETECTION USING ARTIFICIAL AUTOMATIC LUNG CANCER DETECTION USING ARTIFICIAL INTELLIGENCE INTELLIGENCE,"Bardh Rushiti, B. Karahoda",,
AlexNet,259931492,,2023,An attention-based multiscale transformer network for remote sensing image change detection,"Wei Liu, Yiyuan Lin, Weijia Liu, Yongtao Yu, Jonathan Li",,
AlexNet,278193103,,2025,"Advancements in maize leaf disease detection, segmentation and classification: A review","Suresh Timilsina, Sandhya Sharma, Satoshi Kondo",,
AlexNet,208006500,1911.06047,2019,Semantic Granularity Metric Learning for Visual Search,"Dipu Manandhar, M. Bastan, Kim-Hui Yap",,
AlexNet,268047861,,2024,Autonomous Diagnosis System of Breast Cancer,"Minjun Son, Woomin Jun, Sungjin Lee",,
AlexNet,182802582,,2019,Area 2 of primary somatosensory cortex encodes kinematics of the whole arm,"Raeed H. Chowdhury, Joshua I. Glaser, L. Miller",,
AlexNet,284740925,,2026,Overcoming Open-Set Approaches to Adversarial Defense,"Edgar Jatho, Armon Barton, Matthew Wright, Patrick McClure",,
AlexNet,277741319,2504.08554,2025,Boosting-inspired online learning with transfer for railway maintenance,"Diogo Risca, Afonso Lourencco, G. Marreiros",,
AlexNet,257636502,2303.11552,2023,Boosting Verified Training for Robust Image Classifications via Abstraction,"Zhaodi Zhang, Zhiyi Xue, Yang Chen, Si Liu, Yueling Zhang, J. Liu, Min Zhang",,
AlexNet,239671927,,2021,Multiclass classification of whole‐body scintigraphic images using a self‐defined convolutional neural network with attention modules,"Qiang Lin, Chuangui Cao, Tongtong Li, Yongchun Cao, Zhengxing Man, Haijun Wang",,
AlexNet,213145706,,2019,Classification of Hybrid Multiscaled Remote Sensing Scene Using Pretrained Convolutional Neural Networks,"S. Alegavi, R. Sedamkar",,
AlexNet,279514418,,2025,Artificial Intelligence-Empowered Embryo Selection for IVF Applications: A Methodological Review,"L. Moysis, L. Iliadis, G. Vergos, S. Sotiroudis, A. Boursianis, A. Papatheodorou, Konstantinos-Iraklis D. Kokkinidis, Mohammad Abdul Matin, Panagiotis G. Sarigiannidis, Ilias Siniosoglou, Vasileios Argyriou, Sotirios K Goudos",,
AlexNet,198161414,,2017,Learning to Learn Image Classifiers With Visual Analogy,"Linjun Zhou, Peng Cui, Shiqiang Yang, Wenwu Zhu, Q. Tian",,
AlexNet,32265455,,2017,Approaches to Food/Non-food Image Classification Using Deep Learning in Cookpad,"Yohei Kikuta, Yuichiro Someya, Leszek Rybicki",,
Black Hole Explosions?,120369454,,1998,UPDATING OF A $\bar P$ FLUX ESTIMATION VIS-A-VIS THE NEW EXPECTATIONS,"S. Bhattacharyya, D. Roy",,
Black Hole Explosions?,119187306,,2014,The informationally-complete quantum theory,Zeng‐Bing Chen,,
Black Hole Explosions?,56420676,1501.02401,2015,Escape of a vector matter–wave soliton from a parabolic trap,"Y. Bludov, M. García-Ñustes",,
Black Hole Explosions?,207848101,1911.03205,2019,Unitary quantization of a charged scalar field and Schwinger effect,"L. Garay, Alberto Garc'ia Mart'in-Caro, M. Mart'in-Benito",,
Black Hole Explosions?,245335140,2112.09832,2021,"Aretakis constants and instability in general spherically symmetric extremal black hole spacetimes: Higher multipole modes, late-time tails, and geometrical meanings","Takuya Katagiri, M. Kimura",,
Black Hole Explosions?,274776530,2412.10470,2024,Minkowski vacuum entanglement and accelerated oscillator chains,"A. Svidzinsky, M. Scully, William Unruh",,
