seed, citations
Attention Is All You Need, LoRA, Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer, BERT
Playing Atari with Deep Reinforcement Learning, Deep Deterministic Policy Gradient, Proximal Policy Optimization, Double DQN, RAINBOW
Correlated-Q Learning, 
AlexNet, ResNet, Attention Is All You Need
Black Hole Explosions
Q-Learning
Long-Short Term Memory
YOLO
Visual Transformers
Qmix
